Row Labels,Average of SepalLengthCm,Average of SepalWidthCm,,,,,,
Iris-setosa,5.006,3.418,,,,,,
Iris-versicolor,5.936,2.77,,,,,,
Iris-virginica,6.588,2.974,,,,,,
Grand Total,5.843333333,3.054,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Row Labels,Average of PetalLengthCm,Average of PetalWidthCm,,,,,,
Iris-setosa,1.46,0.24,,,,,,
Iris-versicolor,4.26,1.33,,,,,,
Iris-virginica,5.55,2.03,,,,,,
Grand Total,3.76,1.20,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Row Labels,Sum of Id,,,,,,,
Iris-setosa,1275,,,,,,,
Iris-versicolor,3775,,,,,,,
Iris-virginica,6275,,,,,,,
Grand Total,11325,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Row Labels,Sum of Id,,,,,,,
Iris-setosa,1275,,,,,,,
Iris-versicolor,3775,,,,,,,
Iris-virginica,6275,,,,,,,
Grand Total,11325,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Row Labels,Sum of Id,Sum of SepalLengthCm,,Bin,Frequency,,,
Iris-setosa,1275,250.3,,4.3,1,,,
Iris-versicolor,3775,296.8,,4.6,8,,,
Iris-virginica,6275,329.4,,4.9,13,,,
Grand Total,11325,876.5,,5.2,23,,,
,,,,5.5,14,,,
,,,,5.8,21,,,
,,,,6.1,15,,,
,,,,6.4,20,,,
,,,,6.7,15,,,
,,,,7,8,,,
,,,,7.3,5,,,
,,,,7.6,2,,,
,,,,5,5,,,
,,,,5.2,5.2,,,
,,,,5.8,5.8,,,
,,,,6.4,6.4,,,
,,,,6.1,6.1,,,
,,,,6.7,6.7,,,
,,,,5.5,5.5,,,
,,,,4.9,4.9,,,
,,,,4.6,4.6,,,
,,,,7,7,,,
,,,,7.3,7.3,,,
,,,,5,8,,,
,,,,7.6,7.6,,,
,,,,4.3,4.3,,,
